BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily LR (1-4),47.53594,1,0.18,5.07,28683,Low-Rise Multifamily,1978,SOUTHWEST,-122.37703,3,Multifamily Housing,70
Multifamily LR (1-4),47.53628,1,0.21,9.29,43330,Low-Rise Multifamily,1962,SOUTHEAST,-122.27074,3,Multifamily Housing,47
Multifamily LR (1-4),47.53647,1,0.17,9.68,55842,Low-Rise Multifamily,2006,SOUTHEAST,-122.2688,2,Multifamily Housing,29
Multifamily LR (1-4),47.53685,1,0.35,23.8,67920,Low-Rise Multifamily,2003,GREATER DUWAMISH,-122.28406,4,Multifamily Housing,75
Multifamily LR (1-4),47.53871,1,0.66,39.61,59846,Low-Rise Multifamily,2001,GREATER DUWAMISH,-122.28511,3,Multifamily Housing,72
Multifamily LR (1-4),47.53888,1,0.49,99.26,203155,Low-Rise Multifamily,1951,SOUTHWEST,-122.39201,4,Multifamily Housing,75
Multifamily LR (1-4),47.53928,1,0.23,7.87,34678,Low-Rise Multifamily,1969,SOUTHEAST,-122.27045,4,Multifamily Housing,43
Multifamily LR (1-4),47.53979,1,2.29,91.53,39888,Low-Rise Multifamily,1978,SOUTHWEST,-122.39409,4,Multifamily Housing,29
Multifamily LR (1-4),47.53986,1,0.15,3.96,26342,Low-Rise Multifamily,1968,SOUTHWEST,-122.39469,4,Multifamily Housing,97
Multifamily LR (1-4),47.54005,1,0.2,4.71,22984,Low-Rise Multifamily,1963,SOUTHWEST,-122.39503,4,Multifamily Housing,41
Multifamily LR (1-4),47.54027,1,0.6,39.75,66363,Senior Care Community,2001,GREATER DUWAMISH,-122.28551,3,Senior Care Community,91
Multifamily LR (1-4),47.54027,1,1.32,160.8,121635,Low-Rise Multifamily,2001,GREATER DUWAMISH,-122.28551,3,Multifamily Housing,3
Multifamily LR (1-4),47.54047,1,0.21,9.99,46986,Low-Rise Multifamily,1970,DELRIDGE,-122.36169,3,Multifamily Housing,72
Multifamily LR (1-4),47.54093,1,0.18,4.76,26498,Low-Rise Multifamily,1964,SOUTHWEST,-122.39431,3,Multifamily Housing,78
Multifamily LR (1-4),47.54095,1,0.16,11.54,71280,Low-Rise Multifamily,1989,SOUTHWEST,-122.38678,4,Multifamily Housing,54
Multifamily LR (1-4),47.54141,1,0.18,15.7,85695,Low-Rise Multifamily,1987,DELRIDGE,-122.36166,3,Multifamily Housing,72
Multifamily LR (1-4),47.54155,1,0.13,3.94,31488,Low-Rise Multifamily,1987,SOUTHWEST,-122.38686,4,Multifamily Housing,86
Multifamily LR (1-4),47.54163,1,1.36,218.2,160561,Low-Rise Multifamily,1968,SOUTHEAST,-122.27358,4,Multifamily Housing,91
Multifamily LR (1-4),47.54192,1,0.15,5.95,39581,Low-Rise Multifamily,1985,SOUTHWEST,-122.38682,4,Multifamily Housing,86
Multifamily LR (1-4),47.5425,1,0.23,5.93,25951,Low-Rise Multifamily,2005,DELRIDGE,-122.36012,2,Multifamily Housing,38
